"ordem","bloco","plot","tipo","tratamento","parcela","nu_li","tipo_nu","numero","nome_especie","cod_sp","grupo","survt1","survt2","survt3","survt4","survt6","survt7","excl_mort_t1","excl_mort_t2","excl_mort_t3","excl_mort_t4","excl_mort_t6","excl_mort_t7","excluir_total","survt1t4"
1,"2","55","NU","NPK","55NUNPK","B001","B",1750,"Citharexylum myrianthum","4","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
2,"2","55","NU","NPK","55NUNPK","B001","B",1751,"Eriotheca pentaphylla","27","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
3,"2","55","NU","NPK","55NUNPK","B001","B",1752,"Solanum cinnamomeum","10","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
4,"2","55","NU","NPK","55NUNPK","B001","B",1753,"Myrcia ilheosensis","26","NP",1,1,1,1,1,0,0,0,0,0,0,0,0,1
5,"2","55","NU","NPK","55NUNPK","B001","B",1754,"Eugenia astringens","24","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
6,"2","55","NU","NPK","55NUNPK","B001","B",1755,"Eugenia brasiliensis","25","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
7,"2","55","NU","NPK","55NUNPK","B001","B",1756,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
8,"2","55","NU","NPK","55NUNPK","B001","B",1757,"Jacaranda puberula","15","NP",1,1,1,1,1,1,0,0,0,0,1,0,0,1
9,"2","55","NU","NPK","55NUNPK","B001","B",1758,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"2","55","NU","NPK","55NUNPK","B001","B",1759,"Ternstroemia brasiliensis","23","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"2","55","NU","NPK","55NUNPK","B001","B",1760,"Myrsine coriacea","1","P",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
12,"2","55","NU","NPK","55NUNPK","B001","B",1761,"Calophyllum brasiliense","13","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
13,"2","55","NU","NPK","55NUNPK","B001","B",1762,"Schinus terebinthifolius","2","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
14,"2","55","NU","NPK","55NUNPK","A002","A",1763,"Citharexylum myrianthum","4","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
15,"2","55","NU","NPK","55NUNPK","A002","A",1764,"Eriotheca pentaphylla","27","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
16,"2","55","NU","NPK","55NUNPK","A002","A",1765,"Aegiphila verticillata","6","P",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
17,"2","55","NU","NPK","55NUNPK","A002","A",1766,"Eugenia astringens","24","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
18,"2","55","NU","NPK","55NUNPK","A002","A",1767,"Syagrus romanzoffiana","17","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
19,"2","55","NU","NPK","55NUNPK","A002","A",1768,"Myrcia multiflora","22","NP",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
20,"2","55","NU","NPK","55NUNPK","A002","A",1769,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
21,"2","55","NU","NPK","55NUNPK","A002","A",1770,"Bicuiba oleifera","20","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"2","55","NU","NPK","55NUNPK","A002","A",1771,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"2","55","NU","NPK","55NUNPK","A002","A",1772,"Pouteria sp.","21","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"2","55","NU","NPK","55NUNPK","A002","A",1773,"Myrsine coriacea","1","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
25,"2","55","NU","NPK","55NUNPK","A002","A",1774,"Ocotea pulchella","16","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
26,"2","55","NU","NPK","55NUNPK","A002","A",1775,"Schinus terebinthifolius","2","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
28,"2","55","NU","NPK","55NUNPK","B002","B",1777,"Eriotheca pentaphylla","27","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"2","55","NU","NPK","55NUNPK","B002","B",1778,"Solanum cinnamomeum","10","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"2","55","NU","NPK","55NUNPK","B002","B",1779,"Myrcia ilheosensis","26","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"2","55","NU","NPK","55NUNPK","B002","B",1780,"Eugenia astringens","24","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"2","55","NU","NPK","55NUNPK","B002","B",1781,"Eugenia brasiliensis","25","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
33,"2","55","NU","NPK","55NUNPK","B002","B",1782,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
35,"2","55","NU","NPK","55NUNPK","B002","B",1784,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"2","55","NU","NPK","55NUNPK","B002","B",1785,"Ternstroemia brasiliensis","23","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"2","55","NU","NPK","55NUNPK","B002","B",1786,"Myrsine coriacea","1","P",1,0,1,1,0,0,0,0,0,0,0,0,0,1
38,"2","55","NU","NPK","55NUNPK","B002","B",1787,"Calophyllum brasiliense","13","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
39,"2","55","NU","NPK","55NUNPK","B002","B",1788,"Schinus terebinthifolius","2","P",1,1,1,1,0,0,0,0,0,0,0,0,0,1
40,"2","55","NU","NPK","55NUNPK","A003","A",1789,"Citharexylum myrianthum","4","P",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
41,"2","55","NU","NPK","55NUNPK","A003","A",1790,"Eriotheca pentaphylla","27","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
42,"2","55","NU","NPK","55NUNPK","A003","A",1791,"Aegiphila verticillata","6","P",1,1,1,0,0,0,0,0,0,0,0,0,0,0
43,"2","55","NU","NPK","55NUNPK","A003","A",1792,"Syagrus romanzoffiana","17","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
44,"2","55","NU","NPK","55NUNPK","A003","A",1793,"Eugenia astringens","24","NP",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
45,"2","55","NU","NPK","55NUNPK","A003","A",1794,"Myrcia multiflora","22","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"2","55","NU","NPK","55NUNPK","A003","A",1795,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
47,"2","55","NU","NPK","55NUNPK","A003","A",1796,"Bicuiba oleifera","20","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"2","55","NU","NPK","55NUNPK","A003","A",1797,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"2","55","NU","NPK","55NUNPK","A003","A",1798,"Pouteria sp.","21","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"2","55","NU","NPK","55NUNPK","A003","A",1799,"Myrsine coriacea","1","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"2","55","NU","NPK","55NUNPK","A003","A",1800,"Ocotea pulchella","16","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"2","55","NU","NPK","55NUNPK","A003","A",1801,"Schinus terebinthifolius","2","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
53,"2","55","NU","NPK","55NUNPK","B003","B",1815,"Citharexylum myrianthum","4","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
54,"2","55","NU","NPK","55NUNPK","B003","B",1816,"Eriotheca pentaphylla","27","NP",1,1,0,0,0,0,0,0,0,0,0,0,0,0
55,"2","55","NU","NPK","55NUNPK","B003","B",1817,"Solanum cinnamomeum","10","P",1,1,1,1,0,0,0,0,0,0,0,0,0,1
56,"2","55","NU","NPK","55NUNPK","B003","B",1818,"Myrcia ilheosensis","26","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"2","55","NU","NPK","55NUNPK","B003","B",1819,"Eugenia astringens","24","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
58,"2","55","NU","NPK","55NUNPK","B003","B",1820,"Eugenia brasiliensis","25","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
59,"2","55","NU","NPK","55NUNPK","B003","B",1821,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
60,"2","55","NU","NPK","55NUNPK","B003","B",1822,"Jacaranda puberula","15","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,"2","55","NU","NPK","55NUNPK","B003","B",1823,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,"2","55","NU","NPK","55NUNPK","B003","B",1824,"Ternstroemia brasiliensis","23","NP",1,1,0,0,0,0,0,0,0,0,0,0,0,0
63,"2","55","NU","NPK","55NUNPK","B003","B",1825,"Myrsine coriacea","1","P",1,1,1,1,1,0,0,0,0,0,1,0,0,1
64,"2","55","NU","NPK","55NUNPK","B003","B",1826,"Calophyllum brasiliense","13","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
65,"2","55","NU","NPK","55NUNPK","B003","B",1827,"Schinus terebinthifolius","2","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
66,"2","55","NU","NPK","55NUNPK","B004","B",1841,"Citharexylum myrianthum","4","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
67,"2","55","NU","NPK","55NUNPK","B004","B",1842,"Eriotheca pentaphylla","27","NP",1,1,1,1,1,1,0,0,0,0,1,0,0,1
68,"2","55","NU","NPK","55NUNPK","B004","B",1843,"Solanum cinnamomeum","10","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
69,"2","55","NU","NPK","55NUNPK","B004","B",1844,"Myrcia ilheosensis","26","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
70,"2","55","NU","NPK","55NUNPK","B004","B",1845,"Eugenia astringens","24","NP",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
71,"2","55","NU","NPK","55NUNPK","B004","B",1846,"Eugenia brasiliensis","25","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
72,"2","55","NU","NPK","55NUNPK","B004","B",1847,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
74,"2","55","NU","NPK","55NUNPK","B004","B",1849,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"2","55","NU","NPK","55NUNPK","B004","B",1850,"Ternstroemia brasiliensis","23","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"2","55","NU","NPK","55NUNPK","B004","B",1851,"Myrsine coriacea","1","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"2","55","NU","NPK","55NUNPK","B004","B",1852,"Calophyllum brasiliense","13","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
78,"2","55","NU","NPK","55NUNPK","B004","B",1853,"Schinus terebinthifolius","2","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
79,"2","55","NU","NPK","55NUNPK","A006","A",1854,"Citharexylum myrianthum","4","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
80,"2","55","NU","NPK","55NUNPK","A006","A",1855,"Eriotheca pentaphylla","27","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
81,"2","55","NU","NPK","55NUNPK","A006","A",1856,"Aegiphila verticillata","6","P",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
82,"2","55","NU","NPK","55NUNPK","A006","A",1857,"Syagrus romanzoffiana","17","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
83,"2","55","NU","NPK","55NUNPK","A006","A",1858,"Eugenia astringens","24","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
84,"2","55","NU","NPK","55NUNPK","A006","A",1859,"Myrcia multiflora","22","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
85,"2","55","NU","NPK","55NUNPK","A006","A",1860,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
86,"2","55","NU","NPK","55NUNPK","A006","A",1861,"Bicuiba oleifera","20","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,"2","55","NU","NPK","55NUNPK","A006","A",1862,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,"2","55","NU","NPK","55NUNPK","A006","A",1863,"Pouteria sp.","21","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
89,"2","55","NU","NPK","55NUNPK","A006","A",1864,"Myrsine coriacea","1","P",1,1,1,1,1,0,0,0,0,0,1,0,0,1
90,"2","55","NU","NPK","55NUNPK","A006","A",1865,"Ocotea pulchella","16","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,"2","55","NU","NPK","55NUNPK","A006","A",1866,"Schinus terebinthifolius","2","P",1,1,1,1,1,0,0,0,0,0,0,0,0,1
92,"2","55","NU","NPK","55NUNPK","B005","B",1867,"Citharexylum myrianthum","4","P",1,1,1,1,1,1,0,1,0,0,0,0,0,1
93,"2","55","NU","NPK","55NUNPK","B005","B",1868,"Eriotheca pentaphylla","27","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"2","55","NU","NPK","55NUNPK","B005","B",1869,"Solanum cinnamomeum","10","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
95,"2","55","NU","NPK","55NUNPK","B005","B",1870,"Myrcia ilheosensis","26","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"2","55","NU","NPK","55NUNPK","B005","B",1871,"Eugenia astringens","24","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
97,"2","55","NU","NPK","55NUNPK","B005","B",1872,"Eugenia brasiliensis","25","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,"2","55","NU","NPK","55NUNPK","B005","B",1873,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
100,"2","55","NU","NPK","55NUNPK","B005","B",1875,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
101,"2","55","NU","NPK","55NUNPK","B005","B",1876,"Ternstroemia brasiliensis","23","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
102,"2","55","NU","NPK","55NUNPK","B005","B",1877,"Myrsine coriacea","1","P",1,1,0,0,0,0,0,1,0,0,0,0,0,0
103,"2","55","NU","NPK","55NUNPK","B005","B",1878,"Calophyllum brasiliense","13","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
104,"2","55","NU","NPK","55NUNPK","B005","B",1879,"Schinus terebinthifolius","2","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
105,"2","55","NU","NPK","55NUNPK","A007","A",1880,"Citharexylum myrianthum","4","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
106,"2","55","NU","NPK","55NUNPK","A007","A",1881,"Eriotheca pentaphylla","27","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
107,"2","55","NU","NPK","55NUNPK","A007","A",1882,"Aegiphila verticillata","6","P",1,1,1,1,0,0,0,0,0,0,0,0,0,1
108,"2","55","NU","NPK","55NUNPK","A007","A",1883,"Syagrus romanzoffiana","17","NP",1,1,0,0,0,0,0,0,0,0,0,0,0,0
109,"2","55","NU","NPK","55NUNPK","A007","A",1884,"Eugenia astringens","24","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
110,"2","55","NU","NPK","55NUNPK","A007","A",1885,"Myrcia multiflora","22","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
111,"2","55","NU","NPK","55NUNPK","A007","A",1886,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
112,"2","55","NU","NPK","55NUNPK","A007","A",1887,"Bicuiba oleifera","20","NP",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
113,"2","55","NU","NPK","55NUNPK","A007","A",1888,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
114,"2","55","NU","NPK","55NUNPK","A007","A",1889,"Pouteria sp.","21","NP",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
115,"2","55","NU","NPK","55NUNPK","A007","A",1890,"Myrsine coriacea","1","P",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
116,"2","55","NU","NPK","55NUNPK","A007","A",1891,"Ocotea pulchella","16","NP",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
117,"2","55","NU","NPK","55NUNPK","A007","A",1892,"Schinus terebinthifolius","2","P",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
118,"2","55","NU","NPK","55NUNPK","A008","A",1893,"Citharexylum myrianthum","4","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
120,"2","55","NU","NPK","55NUNPK","A008","A",1895,"Aegiphila verticillata","6","P",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
121,"2","55","NU","NPK","55NUNPK","A008","A",1896,"Syagrus romanzoffiana","17","NP",1,1,0,1,1,1,0,0,0,0,0,0,0,1
122,"2","55","NU","NPK","55NUNPK","A008","A",1897,"Eugenia astringens","24","NP",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
123,"2","55","NU","NPK","55NUNPK","A008","A",1898,"Myrcia multiflora","22","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,"2","55","NU","NPK","55NUNPK","A008","A",1899,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
125,"2","55","NU","NPK","55NUNPK","A008","A",1900,"Bicuiba oleifera","20","NP",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
126,"2","55","NU","NPK","55NUNPK","A008","A",1901,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,"2","55","NU","NPK","55NUNPK","A008","A",1902,"Pouteria sp.","21","NP",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
128,"2","55","NU","NPK","55NUNPK","A008","A",1903,"Myrsine coriacea","1","P",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
130,"2","55","NU","NPK","55NUNPK","A008","A",1905,"Schinus terebinthifolius","2","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
131,"2","55","NU","NPK","55NUNPK","B006","B",1906,"Citharexylum myrianthum","4","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
132,"2","55","NU","NPK","55NUNPK","B006","B",1907,"Eriotheca pentaphylla","27","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
133,"2","55","NU","NPK","55NUNPK","B006","B",1908,"Solanum cinnamomeum","10","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0
134,"2","55","NU","NPK","55NUNPK","B006","B",1909,"Myrcia ilheosensis","26","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
135,"2","55","NU","NPK","55NUNPK","B006","B",1910,"Eugenia astringens","24","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
136,"2","55","NU","NPK","55NUNPK","B006","B",1911,"Eugenia brasiliensis","25","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
137,"2","55","NU","NPK","55NUNPK","B006","B",1912,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
138,"2","55","NU","NPK","55NUNPK","B006","B",1913,"Jacaranda puberula","15","NP",1,1,0,0,0,0,0,0,0,0,0,0,0,0
139,"2","55","NU","NPK","55NUNPK","B006","B",1914,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
140,"2","55","NU","NPK","55NUNPK","B006","B",1915,"Ternstroemia brasiliensis","23","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,"2","55","NU","NPK","55NUNPK","B006","B",1916,"Myrsine coriacea","1","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0
142,"2","55","NU","NPK","55NUNPK","B006","B",1917,"Calophyllum brasiliense","13","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
143,"2","55","NU","NPK","55NUNPK","B006","B",1918,"Schinus terebinthifolius","2","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0
144,"2","55","NU","NPK","55NUNPK","A009","A",1919,"Citharexylum myrianthum","4","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0
145,"2","55","NU","NPK","55NUNPK","A009","A",1920,"Eriotheca pentaphylla","27","NP",1,1,0,0,0,0,0,0,0,0,0,0,0,0
146,"2","55","NU","NPK","55NUNPK","A009","A",1921,"Aegiphila verticillata","6","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0
147,"2","55","NU","NPK","55NUNPK","A009","A",1922,"Syagrus romanzoffiana","17","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
148,"2","55","NU","NPK","55NUNPK","A009","A",1923,"Eugenia astringens","24","NP",1,1,1,0,1,1,0,0,0,0,0,0,0,0
149,"2","55","NU","NPK","55NUNPK","A009","A",1924,"Myrcia multiflora","22","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,"2","55","NU","NPK","55NUNPK","A009","A",1925,"Erythrina speciosa","3","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,"2","55","NU","NPK","55NUNPK","A009","A",1926,"Bicuiba oleifera","20","NP",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
152,"2","55","NU","NPK","55NUNPK","A009","A",1927,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,"2","55","NU","NPK","55NUNPK","A009","A",1928,"Pouteria sp.","21","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,"2","55","NU","NPK","55NUNPK","A009","A",1929,"Myrsine coriacea","1","P",1,0,0,0,0,0,0,0,0,0,0,0,0,0
155,"2","55","NU","NPK","55NUNPK","A009","A",1930,"Ocotea pulchella","16","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
156,"2","55","NU","NPK","55NUNPK","A009","A",1931,"Schinus terebinthifolius","2","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
196,"2","54","LI","ND","54LIND","1",NA,1988,"Aegiphila verticillata","6","P",1,0,0,1,0,0,0,0,0,0,0,0,0,1
198,"2","54","LI","ND","54LIND","1",NA,1991,"Schinus terebinthifolius","2","P",1,1,1,1,1,0,0,0,0,0,0,0,0,1
199,"2","54","LI","ND","54LIND","1",NA,1995,"Solanum cinnamomeum","10","P",1,1,0,0,0,0,0,0,0,0,0,0,0,0
200,"2","54","LI","ND","54LIND","1",NA,1996,"Myrsine coriacea","1","P",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
201,"2","54","LI","ND","54LIND","1",NA,1999,"Citharexylum myrianthum","4","P",1,1,1,1,0,0,0,0,0,0,0,0,0,1
202,"2","54","LI","ND","54LIND","1",NA,2000,"Aegiphila verticillata","6","P",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
203,"2","54","LI","ND","54LIND","1",NA,2004,"Erythrina speciosa","3","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
204,"2","54","LI","ND","54LIND","1",NA,2007,"Solanum cinnamomeum","10","P",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
206,"2","54","LI","ND","54LIND","2",NA,2015,"Eugenia astringens","24","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
207,"2","54","LI","ND","54LIND","2",NA,2018,"Myrcia ilheosensis","26","NP",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
208,"2","54","LI","ND","54LIND","2",NA,2019,"Eugenia brasiliensis","25","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
210,"2","54","LI","ND","54LIND","2",NA,2021,"Myrcia multiflora","22","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
211,"2","54","LI","ND","54LIND","2",NA,2023,"Ternstroemia brasiliensis","23","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"2","54","LI","ND","54LIND","2",NA,2024,"Jacaranda puberula","15","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
213,"2","54","LI","ND","54LIND","2",NA,2025,"Ocotea pulchella","16","NP",1,0,1,1,0,0,0,0,0,0,0,0,0,1
214,"2","54","LI","ND","54LIND","2",NA,2026,"Bicuiba oleifera","20","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
216,"2","54","LI","ND","54LIND","2",NA,2028,"Eugenia astringens","24","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
217,"2","54","LI","ND","54LIND","2",NA,2029,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
218,"2","54","LI","ND","54LIND","2",NA,2030,"Eriotheca pentaphylla","27","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
219,"2","54","LI","ND","54LIND","2",NA,2031,"Calophyllum brasiliense","13","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
220,"2","54","LI","ND","54LIND","3",NA,2035,"Myrsine coriacea","1","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
221,"2","54","LI","ND","54LIND","3",NA,2038,"Citharexylum myrianthum","4","P",1,1,1,1,1,1,0,0,0,0,0,0,0,1
222,"2","54","LI","ND","54LIND","3",NA,2041,"Solanum cinnamomeum","10","P",1,1,1,1,0,0,0,0,0,0,0,0,0,1
223,"2","54","LI","ND","54LIND","3",NA,2043,"Schinus terebinthifolius","2","P",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
224,"2","54","LI","ND","54LIND","3",NA,2052,"Erythrina speciosa","3","P",1,1,1,1,1,0,0,0,0,0,1,0,0,1
225,"2","54","LI","ND","54LIND","3",NA,2054,"Citharexylum myrianthum","4","P",1,1,1,1,0,0,0,0,0,0,0,0,0,1
226,"2","54","LI","ND","54LIND","3",NA,2055,"Aegiphila verticillata","6","P",1,1,1,1,0,0,0,0,0,0,0,0,0,1
227,"2","54","LI","ND","54LIND","4",NA,2061,"Eugenia astringens","24","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
228,"2","54","LI","ND","54LIND","4",NA,2062,"Euterpe edulis","28","NP",1,1,0,0,0,0,0,0,0,0,0,0,0,0
229,"2","54","LI","ND","54LIND","4",NA,2063,"Eriotheca pentaphylla","27","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
231,"2","54","LI","ND","54LIND","4",NA,2072,"Euterpe edulis","28","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
232,"2","54","LI","ND","54LIND","4",NA,2073,"Eriotheca pentaphylla","27","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
233,"2","54","LI","ND","54LIND","4",NA,2076,"Eugenia astringens","24","NP",1,1,1,1,0,0,0,0,0,0,0,0,0,1
234,"2","54","LI","ND","54LIND","4",NA,2079,"Myrcia ilheosensis","26","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
235,"2","54","LI","ND","54LIND","4",NA,2080,"Eugenia brasiliensis","25","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
237,"2","54","LI","ND","54LIND","4",NA,2082,"Myrcia multiflora","22","NP",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
238,"2","54","LI","ND","54LIND","4",NA,2083,"Pouteria sp.","21","NP",1,1,0,0,0,0,0,0,0,0,0,0,0,0
239,"2","54","LI","ND","54LIND","4",NA,2084,"Ternstroemia brasiliensis","23","NP",1,0,0,0,0,0,0,0,0,0,0,0,0,0
240,"2","54","LI","ND","54LIND","4",NA,2085,"Jacaranda puberula","15","NP",1,1,1,1,1,1,0,0,0,0,0,0,0,1
