"","mean","low","upp"
"P-NP (LI)",8.45284074257928,1.31555120734393,28.9694591535087
"P-NP (NU)",4.15002029605118,0.574638510874886,14.1570873391191
"NU-LI (P)",1.13156826243531,0.868746861139305,1.47800993575509
"NU-LI (NP)",2.30934962960515,1.89825311571874,2.78029113161692
