"","bloco","nome_especie","grupo","tipo","surv","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"111",NA,"Aegiphila verticillata","P","LI",NA,0.0534906013517346,0.0168312970508628,0.0275275867823314,0.0511494072173689,0.0928640420491545,NA
"214",NA,"Aegiphila verticillata","P","NU",NA,0.0622764487505101,0.0192894368052621,0.0323298026504438,0.0596526681217119,0.107239513760064,NA
"314",NA,"Citharexylum myrianthum","P","LI",NA,0.842705407137236,0.0286561717044326,0.780658023629568,0.844756182494936,0.892978636864845,NA
"42",NA,"Citharexylum myrianthum","P","NU",NA,0.863172699857889,0.0243557409459696,0.810376469236463,0.864919657289672,0.905909064104483,NA
"512",NA,"Erythrina speciosa","P","LI",NA,0.852291063189476,0.0277400190544932,0.79198359050587,0.854371651085741,0.900659619670697,NA
"68",NA,"Erythrina speciosa","P","NU",NA,0.87171514779496,0.0234923205287926,0.820606941265048,0.87347355301316,0.912704736166138,NA
"79",NA,"Myrsine coriacea","P","LI",NA,0.267349882803473,0.0412800312973281,0.191938926694289,0.265391347130796,0.353980401552586,NA
"825",NA,"Myrsine coriacea","P","NU",NA,0.299877211795186,0.0413385773181988,0.223081550156217,0.298315313809279,0.385652552456189,NA
"912",NA,"Schinus terebinthifolius","P","LI",NA,0.693504777899471,0.0422218037499856,0.605950120481297,0.69508610156649,0.771964375863288,NA
"109",NA,"Schinus terebinthifolius","P","NU",NA,0.726932009840086,0.0370422813845872,0.649629465059673,0.728439354925767,0.795514143769929,NA
"11",NA,"Solanum cinnamomeum","P","LI",NA,0.0931131781796477,0.0231093992563823,0.055113987196697,0.0906429573300327,0.145236628052693,NA
"121",NA,"Solanum cinnamomeum","P","NU",NA,0.10765337415081,0.026039190379141,0.0644838677745093,0.104984260280626,0.166073041685321,NA
"1313",NA,"Bicuiba oleifera","NP","LI",NA,0.0228802567679573,0.0115503982897028,0.00784204826188554,0.0204619411565453,0.051917619508792,NA
"146",NA,"Bicuiba oleifera","NP","NU",NA,0.0445819219206761,0.0215558326453565,0.015761818658351,0.040256102463335,0.0983263054427294,NA
"155",NA,"Calophyllum brasiliense","NP","LI",NA,0.729639019218951,0.0419427676485321,0.641496926538763,0.731676490964546,0.806109336281285,NA
"16",NA,"Calophyllum brasiliense","NP","NU",NA,0.843457975272898,0.0287818785463177,0.781072533096818,0.845544864585987,0.893865915234881,NA
"176",NA,"Eriotheca pentaphylla","NP","LI",NA,0.217473269436962,0.0324460138779748,0.158438533849364,0.215815333639608,0.286077961856532,NA
"188",NA,"Eriotheca pentaphylla","NP","NU",NA,0.356897755659117,0.041285452502811,0.278441086889561,0.355867616938302,0.441314232224684,NA
"19",NA,"Eugenia astringens","NP","LI",NA,0.488649291032546,0.0459059540252082,0.39825195260309,0.48861021358342,0.579269680499508,NA
"203",NA,"Eugenia astringens","NP","NU",NA,0.656207041456733,0.0401466352434714,0.573829286189067,0.657293461543334,0.732271850108408,NA
"2135",NA,"Eugenia brasiliensis","NP","LI",NA,0.55306359335589,0.0492676804455165,0.454582393995913,0.553617229232995,0.648364894570947,NA
"221",NA,"Eugenia brasiliensis","NP","NU",NA,0.711735105142102,0.0411650393915032,0.625913835778586,0.713447112202037,0.787714768073889,NA
"235",NA,"Euterpe edulis","NP","LI",NA,0.0211896649408018,0.00745221675440626,0.010146203773485,0.0200161468465673,0.0389805522414318,NA
"245",NA,"Euterpe edulis","NP","NU",NA,0.0414511686880109,0.0138492837126083,0.0205080414074836,0.0393955148976075,0.0741856446289967,NA
"2510",NA,"Jacaranda puberula","NP","LI",NA,0.650225700697141,0.0459170518141474,0.55600248815821,0.651609676474204,0.736503798388372,NA
"262",NA,"Jacaranda puberula","NP","NU",NA,0.787690884672336,0.0346388855862523,0.713975060369353,0.789685398114938,0.849946998069247,NA
"2713",NA,"Myrcia ilheosensis","NP","LI",NA,0.0261256451650608,0.0105280806735753,0.0111709336082761,0.0242738435955959,0.0517413705958903,NA
"286",NA,"Myrcia ilheosensis","NP","NU",NA,0.0508129997467208,0.0194977973447618,0.0224420988111495,0.0475759683839755,0.0977506415192024,NA
"2915",NA,"Myrcia multiflora","NP","LI",NA,0.0781066301222341,0.0193698905794256,0.0463395144982123,0.0760088850734717,0.121882084721798,NA
"3014",NA,"Myrcia multiflora","NP","NU",NA,0.144675017248147,0.0323559393114823,0.089832108278998,0.141750527784397,0.216204376222383,NA
"3113",NA,"Ocotea pulchella","NP","LI",NA,0.0753988025973692,0.0184434006378262,0.0450855399916279,0.0734222023730121,0.117031600858036,NA
"3214",NA,"Ocotea pulchella","NP","NU",NA,0.140056190137192,0.0310307254522799,0.0874339471200617,0.137258185313916,0.208653160525791,NA
"334",NA,"Pouteria sp.","NP","LI",NA,0.0412486473340564,0.0150232676377208,0.0190980686998812,0.0388446305963263,0.0771966620841494,NA
"343",NA,"Pouteria sp.","NP","NU",NA,0.0789794550406668,0.0268620909985889,0.0381216856067562,0.0750577919921993,0.142239327614712,NA
"351",NA,"Syagrus romanzoffiana","NP","LI",NA,0.223190829791166,0.0361713749706381,0.157984491948018,0.221175583315202,0.299960190193173,NA
"364",NA,"Syagrus romanzoffiana","NP","NU",NA,0.364399714472865,0.0473040975020044,0.275154763813493,0.363105081556617,0.46105991386888,NA
"376",NA,"Ternstroemia brasiliensis","NP","LI",NA,0.0131671065649516,0.00737367220622655,0.00402292814539928,0.0115084426710138,0.0319590713333959,NA
"38",NA,"Ternstroemia brasiliensis","NP","NU",NA,0.0259483496664055,0.0141248431050401,0.00810165984055989,0.0228432007076157,0.0618016126286063,NA
